num_headhunters,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
1,121,83,38,107.92678984815204,95.40237851368414,65.59564812821682,160.99802664190096,0.34561983471074376,0.34561983471074376,0.20267469879518066,0.6578421052631579
2,103,55,48,96.40560862939671,90.26620312268332,59.651158800351624,149.91736192303495,0.332873786407767,0.332873786407767,0.17603636363636363,0.5125833333333333
3,91,46,45,85.90882650394374,81.71114531128329,52.98159090314732,134.69273621443062,0.3185054945054945,0.3185054945054945,0.19317391304347828,0.4466222222222222
4,78,40,38,74.69732425401651,71.56001055990669,51.42458015471266,122.98459071461934,0.275,0.275,0.1637,0.39215789473684215
5,73,35,38,69.53387765539246,67.07147653943409,50.432515201928936,117.50399174136302,0.2675890410958904,0.2675890410958904,0.16937142857142856,0.3580526315789474
6,55,28,27,53.56393241000144,52.135663631856225,40.64058257423275,92.77624620608898,0.22094545454545456,0.22094545454545456,0.14264285714285713,0.3021481481481481
7,57,27,30,55.33563205673041,53.81550406915207,39.2742656238971,93.08976969304916,0.24056140350877192,0.24056140350877192,0.14192592592592593,0.3293333333333333
8,47,24,23,45.75679782604135,44.659501146533444,33.48716616560467,78.1466673121381,0.21208510638297876,0.21208510638297876,0.13383333333333333,0.2937391304347826
9,47,21,26,44.687201775646315,44.17800878225478,33.630815483759285,77.80882426601406,0.2202553191489362,0.2202553191489362,0.114,0.3060769230769231
10,48,21,27,46.75189696474801,45.70128580562062,36.05328787282534,81.75457367844595,0.23120833333333335,0.23120833333333335,0.12323809523809524,0.3151851851851852
11,37,16,21,36.02275454495943,35.88238228812968,26.63718583282212,62.5195681209518,0.17551351351351352,0.17551351351351352,0.08075,0.24771428571428572
12,33,16,17,32.26179844397612,31.592379518189247,26.328527466550153,57.9209069847394,0.19503030303030303,0.19503030303030303,0.14087500000000003,0.24599999999999997
13,36,19,17,34.92407902308861,34.51584924663306,26.59641401883266,61.11226326546572,0.19016666666666665,0.19016666666666665,0.11947368421052632,0.2691764705882353
14,31,15,16,30.408648352748703,29.98479164767282,26.71915926271343,56.703950910386254,0.1566451612903226,0.1566451612903226,0.10213333333333335,0.20775
15,31,16,15,30.473060258827108,29.98075562941279,23.836798084253047,53.81755371366584,0.15858064516129033,0.15858064516129033,0.10924999999999999,0.2112
16,30,14,16,29.489880014938063,29.015853978290004,24.755383609903628,53.77123758819363,0.17473333333333332,0.17473333333333332,0.10114285714285716,0.239125
17,25,12,13,24.70052180220082,24.41584586321371,20.9091033840872,45.32494924730091,0.12023999999999999,0.12023999999999999,0.09399999999999999,0.14446153846153847
18,30,15,15,29.51414932310557,29.237487691819567,23.87685204053823,53.11433973235779,0.1876666666666667,0.1876666666666667,0.10306666666666668,0.2722666666666667
19,27,12,15,26.72553679318297,26.545468757061087,21.807126435929426,48.35259519299051,0.15807407407407406,0.15807407407407406,0.12749999999999997,0.18253333333333333
