gamma,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.0,30,17,13,29.335288045023155,28.806641912537195,24.69398111450453,53.500623027041726,0.17566666666666667,0.17566666666666667,0.17611764705882352,0.17507692307692307
0.01,24,12,12,23.606965469573186,23.319947062771213,19.712866452751705,43.03281351552292,0.15158333333333332,0.15158333333333332,0.17700000000000002,0.12616666666666668
0.02,29,14,15,28.376575771045562,28.03789084756893,21.945161609536754,49.983052457105686,0.20586206896551723,0.20586206896551723,0.18728571428571428,0.22319999999999998
0.03,30,17,13,29.48824963002365,29.040100049229434,23.871995646112538,52.912095695341975,0.18266666666666667,0.18266666666666667,0.15282352941176472,0.2216923076923077
0.04,26,15,11,25.39236151543497,25.142212783539517,22.2364814559212,47.378694239460714,0.14207692307692307,0.14207692307692307,0.18053333333333332,0.08963636363636364
0.05,23,13,10,22.73732631786967,22.47791395705982,19.728146651458044,42.20606060851786,0.13173913043478264,0.13173913043478264,0.11707692307692309,0.1508
0.06,29,13,16,28.58009491988591,28.233575080386693,22.129425175913756,50.36300025630045,0.1993793103448276,0.1993793103448276,0.096,0.283375
0.07,27,16,11,26.576637883678917,26.237093817361473,20.338943545087066,46.57603736244854,0.18844444444444444,0.18844444444444444,0.222,0.13963636363636364
0.08,24,14,10,23.129836084268597,23.180662073709367,18.885614704243363,42.06627677795273,0.16866666666666666,0.16866666666666666,0.2032857142857143,0.1202
0.09,24,11,13,23.68776045054453,23.47426683915139,20.45212410917374,43.926390948325135,0.15483333333333335,0.15483333333333335,0.07854545454545456,0.21938461538461537
0.1,26,14,12,25.43248499513597,25.45304304847413,19.85735233519041,45.31039538366454,0.14746153846153848,0.14746153846153848,0.13414285714285715,0.163
0.11,24,12,12,23.606068907880466,23.262161546842382,18.425849423504943,41.68801097034732,0.23125000000000004,0.23125000000000004,0.18499999999999997,0.2775
